,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.56,0.705,10,-7.741,0,0.147,0.485,1.13e-05,0.245,0.235,91.948,audio_features,59YHaQEfQWcnuH2MX1ORD0,spotify:track:59YHaQEfQWcnuH2MX1ORD0,https://api.spotify.com/v1/tracks/59YHaQEfQWcnuH2MX1ORD0,https://api.spotify.com/v1/audio-analysis/59YHaQEfQWcnuH2MX1ORD0,254348,4
1,0.403,0.214,10,-10.686,0,0.0389,0.951,1.69e-06,0.111,0.337,174.744,audio_features,7DfPUbwfVTcbUCnBZWXBlA,spotify:track:7DfPUbwfVTcbUCnBZWXBlA,https://api.spotify.com/v1/tracks/7DfPUbwfVTcbUCnBZWXBlA,https://api.spotify.com/v1/audio-analysis/7DfPUbwfVTcbUCnBZWXBlA,163753,3
2,0.659,0.783,11,-4.918,0,0.301,0.134,0.0,0.114,0.336,90.092,audio_features,2qoNlDkhEV9b6RnxdgrCgz,spotify:track:2qoNlDkhEV9b6RnxdgrCgz,https://api.spotify.com/v1/tracks/2qoNlDkhEV9b6RnxdgrCgz,https://api.spotify.com/v1/audio-analysis/2qoNlDkhEV9b6RnxdgrCgz,300814,4
3,0.79,0.537,10,-7.881,0,0.0389,0.198,4.07e-05,0.08,0.317,97.96,audio_features,4OXPhCRg9rA5qpGu21arOB,spotify:track:4OXPhCRg9rA5qpGu21arOB,https://api.spotify.com/v1/tracks/4OXPhCRg9rA5qpGu21arOB,https://api.spotify.com/v1/audio-analysis/4OXPhCRg9rA5qpGu21arOB,203337,4
4,0.703,0.689,0,-6.575,0,0.0658,0.43,0.0,0.185,0.492,82.058,audio_features,15Ihw9YYcsvarDutay5dGQ,spotify:track:15Ihw9YYcsvarDutay5dGQ,https://api.spotify.com/v1/tracks/15Ihw9YYcsvarDutay5dGQ,https://api.spotify.com/v1/audio-analysis/15Ihw9YYcsvarDutay5dGQ,245004,4
5,0.716,0.704,1,-6.786,0,0.155,0.154,1.39e-05,0.135,0.681,162.024,audio_features,1FxTl0wgfo5uxVeUzZbio3,spotify:track:1FxTl0wgfo5uxVeUzZbio3,https://api.spotify.com/v1/tracks/1FxTl0wgfo5uxVeUzZbio3,https://api.spotify.com/v1/audio-analysis/1FxTl0wgfo5uxVeUzZbio3,158003,3
6,0.7,0.668,7,-7.378,0,0.0465,0.065,0.00102,0.146,0.537,116.057,audio_features,09WV0zDMe3Gy7T21kKOY1l,spotify:track:09WV0zDMe3Gy7T21kKOY1l,https://api.spotify.com/v1/tracks/09WV0zDMe3Gy7T21kKOY1l,https://api.spotify.com/v1/audio-analysis/09WV0zDMe3Gy7T21kKOY1l,193529,4
7,0.518,0.567,9,-8.957,0,0.03,0.132,0.000204,0.087,0.0924,123.962,audio_features,3oY8FzEOjGnJuZp0oweh86,spotify:track:3oY8FzEOjGnJuZp0oweh86,https://api.spotify.com/v1/tracks/3oY8FzEOjGnJuZp0oweh86,https://api.spotify.com/v1/audio-analysis/3oY8FzEOjGnJuZp0oweh86,256822,4
8,0.639,0.64,0,-5.445,1,0.264,0.0235,0.0,0.195,0.523,88.093,audio_features,1nMd2QJB8ZxIH4f3rSgKY6,spotify:track:1nMd2QJB8ZxIH4f3rSgKY6,https://api.spotify.com/v1/tracks/1nMd2QJB8ZxIH4f3rSgKY6,https://api.spotify.com/v1/audio-analysis/1nMd2QJB8ZxIH4f3rSgKY6,166162,4
9,0.452,0.292,3,-11.532,0,0.0335,0.884,0.788,0.0851,0.0763,129.992,audio_features,61fNE7X3biK4qCna7YLQnt,spotify:track:61fNE7X3biK4qCna7YLQnt,https://api.spotify.com/v1/tracks/61fNE7X3biK4qCna7YLQnt,https://api.spotify.com/v1/audio-analysis/61fNE7X3biK4qCna7YLQnt,157870,3
10,0.531,0.737,0,-5.367,1,0.0779,0.15,0.0,0.268,0.557,155.986,audio_features,3CvkJCqzCmFSJrLfc57peK,spotify:track:3CvkJCqzCmFSJrLfc57peK,https://api.spotify.com/v1/tracks/3CvkJCqzCmFSJrLfc57peK,https://api.spotify.com/v1/audio-analysis/3CvkJCqzCmFSJrLfc57peK,177189,4
11,0.745,0.653,1,-6.131,1,0.385,0.628,3.77e-06,0.661,0.711,137.876,audio_features,4Cfs8RDYaGaJ5GjmoEL2zc,spotify:track:4Cfs8RDYaGaJ5GjmoEL2zc,https://api.spotify.com/v1/tracks/4Cfs8RDYaGaJ5GjmoEL2zc,https://api.spotify.com/v1/audio-analysis/4Cfs8RDYaGaJ5GjmoEL2zc,239622,4
12,0.53,0.536,10,-8.217,1,0.0391,0.335,0.0259,0.0939,0.188,109.911,audio_features,4YNySWl0EeDoibxoS7Wubo,spotify:track:4YNySWl0EeDoibxoS7Wubo,https://api.spotify.com/v1/tracks/4YNySWl0EeDoibxoS7Wubo,https://api.spotify.com/v1/audio-analysis/4YNySWl0EeDoibxoS7Wubo,213771,4
13,0.556,0.771,5,-3.136,0,0.0372,0.0619,0.0,0.153,0.437,91.036,audio_features,2Vz1Kcs9Chj8SGb2UjPMxP,spotify:track:2Vz1Kcs9Chj8SGb2UjPMxP,https://api.spotify.com/v1/tracks/2Vz1Kcs9Chj8SGb2UjPMxP,https://api.spotify.com/v1/audio-analysis/2Vz1Kcs9Chj8SGb2UjPMxP,176703,4
14,0.376,0.296,4,-12.756,0,0.0275,0.665,0.0,0.108,0.0925,87.853,audio_features,1puJxa1Eo9CdHa6LdkiyNE,spotify:track:1puJxa1Eo9CdHa6LdkiyNE,https://api.spotify.com/v1/tracks/1puJxa1Eo9CdHa6LdkiyNE,https://api.spotify.com/v1/audio-analysis/1puJxa1Eo9CdHa6LdkiyNE,258116,4
15,0.295,0.412,6,-6.012,0,0.0308,0.813,0.0,0.09,0.381,149.801,audio_features,4ORg1UmTWSzJioC7tSGE44,spotify:track:4ORg1UmTWSzJioC7tSGE44,https://api.spotify.com/v1/tracks/4ORg1UmTWSzJioC7tSGE44,https://api.spotify.com/v1/audio-analysis/4ORg1UmTWSzJioC7tSGE44,214845,5
16,0.734,0.406,7,-9.655,1,0.0421,0.0701,0.0,0.226,0.224,131.972,audio_features,2qyRN9inMBAVtfMkCaVaGG,spotify:track:2qyRN9inMBAVtfMkCaVaGG,https://api.spotify.com/v1/tracks/2qyRN9inMBAVtfMkCaVaGG,https://api.spotify.com/v1/audio-analysis/2qyRN9inMBAVtfMkCaVaGG,203886,4
17,0.67,0.683,2,-7.547,0,0.0625,0.35,0.0,0.0896,0.62,147.907,audio_features,56VkflN1kF3JrNGA6IAIne,spotify:track:56VkflN1kF3JrNGA6IAIne,https://api.spotify.com/v1/tracks/56VkflN1kF3JrNGA6IAIne,https://api.spotify.com/v1/audio-analysis/56VkflN1kF3JrNGA6IAIne,199054,4
18,0.325,0.704,0,-8.788,0,0.164,0.0908,2.45e-05,0.082,0.454,86.377,audio_features,1jjELg0MAXyxXlsl1cixH9,spotify:track:1jjELg0MAXyxXlsl1cixH9,https://api.spotify.com/v1/tracks/1jjELg0MAXyxXlsl1cixH9,https://api.spotify.com/v1/audio-analysis/1jjELg0MAXyxXlsl1cixH9,198140,4
19,0.744,0.9,4,-6.527,0,0.267,0.232,0.0,0.12,0.889,89.684,audio_features,5o2AnH5FJir8e9K9nEyTfM,spotify:track:5o2AnH5FJir8e9K9nEyTfM,https://api.spotify.com/v1/tracks/5o2AnH5FJir8e9K9nEyTfM,https://api.spotify.com/v1/audio-analysis/5o2AnH5FJir8e9K9nEyTfM,162116,3
20,0.208,0.237,0,-15.823,1,0.0373,0.566,0.576,0.0659,0.116,132.632,audio_features,06i87aXHbMbIrFkwPPHVg0,spotify:track:06i87aXHbMbIrFkwPPHVg0,https://api.spotify.com/v1/tracks/06i87aXHbMbIrFkwPPHVg0,https://api.spotify.com/v1/audio-analysis/06i87aXHbMbIrFkwPPHVg0,224250,3
21,0.634,0.772,0,-4.951,0,0.0444,0.556,0.0,0.0903,0.502,89.924,audio_features,1c2z93mzptlK8tX5DyYKVy,spotify:track:1c2z93mzptlK8tX5DyYKVy,https://api.spotify.com/v1/tracks/1c2z93mzptlK8tX5DyYKVy,https://api.spotify.com/v1/audio-analysis/1c2z93mzptlK8tX5DyYKVy,203377,4
22,0.619,0.776,1,-6.129,0,0.0781,0.109,1.2e-06,0.0595,0.276,123.037,audio_features,6ligcLqM1ybACMwwQ6H3XH,spotify:track:6ligcLqM1ybACMwwQ6H3XH,https://api.spotify.com/v1/tracks/6ligcLqM1ybACMwwQ6H3XH,https://api.spotify.com/v1/audio-analysis/6ligcLqM1ybACMwwQ6H3XH,233659,4
23,0.547,0.826,4,-3.427,0,0.0358,0.226,1.26e-06,0.0798,0.446,150.106,audio_features,02ZVxGYtebYvIUAhGUTYFn,spotify:track:02ZVxGYtebYvIUAhGUTYFn,https://api.spotify.com/v1/tracks/02ZVxGYtebYvIUAhGUTYFn,https://api.spotify.com/v1/audio-analysis/02ZVxGYtebYvIUAhGUTYFn,192800,4
